level,world,mandatory_bounces,max_ammo,feature
1,1,1,4,angles
2,1,1,4,angles
3,1,1,4,angles
4,1,1,4,angles
5,1,1,4,angles
6,1,1,4,angles
7,1,1,4,angles
8,1,1,4,angles
9,1,1,4,angles
10,1,1,4,angles
11,1,1,4,angles
12,1,1,4,angles
13,1,1,4,angles
14,1,1,4,angles
15,1,1,4,angles
16,1,1,4,angles
17,1,1,4,angles
18,1,1,4,angles
19,1,1,4,angles
20,1,1,4,angles
21,2,2,4,moving hazards and glass
22,2,2,4,moving hazards and glass
23,2,2,4,moving hazards and glass
24,2,2,4,moving hazards and glass
25,2,2,4,moving hazards and glass
26,2,2,4,moving hazards and glass
27,2,2,4,moving hazards and glass
28,2,2,4,moving hazards and glass
29,2,2,4,moving hazards and glass
30,2,2,4,moving hazards and glass
31,2,2,4,moving hazards and glass
32,2,2,4,moving hazards and glass
33,2,2,4,moving hazards and glass
34,2,2,4,moving hazards and glass
35,2,2,4,moving hazards and glass
36,2,2,4,moving hazards and glass
37,2,2,4,moving hazards and glass
38,2,2,4,moving hazards and glass
39,2,2,4,moving hazards and glass
40,2,2,4,moving hazards and glass
41,3,2,3,portals and gravity
42,3,2,3,portals and gravity
43,3,2,3,portals and gravity
44,3,2,3,portals and gravity
45,3,2,3,portals and gravity
46,3,2,3,portals and gravity
47,3,2,3,portals and gravity
48,3,2,3,portals and gravity
49,3,2,3,portals and gravity
50,3,2,3,portals and gravity
51,3,2,3,portals and gravity
52,3,2,3,portals and gravity
53,3,2,3,portals and gravity
54,3,2,3,portals and gravity
55,3,2,3,portals and gravity
56,3,2,3,portals and gravity
57,3,2,3,portals and gravity
58,3,2,3,portals and gravity
59,3,2,3,portals and gravity
60,3,2,3,portals and gravity
61,4,3,3,moving shielded targets
62,4,3,3,moving shielded targets
63,4,3,3,moving shielded targets
64,4,3,3,moving shielded targets
65,4,3,3,moving shielded targets
66,4,3,3,moving shielded targets
67,4,3,3,moving shielded targets
68,4,3,3,moving shielded targets
69,4,3,3,moving shielded targets
70,4,3,3,moving shielded targets
71,4,3,3,moving shielded targets
72,4,3,3,moving shielded targets
73,4,3,3,moving shielded targets
74,4,3,3,moving shielded targets
75,4,3,3,moving shielded targets
76,4,3,3,moving shielded targets
77,4,3,3,moving shielded targets
78,4,3,3,moving shielded targets
79,4,3,3,moving shielded targets
80,4,3,3,moving shielded targets
81,5,3,3,master mechanisms
82,5,3,3,master mechanisms
83,5,3,3,master mechanisms
84,5,3,3,master mechanisms
85,5,3,3,master mechanisms
86,5,3,3,master mechanisms
87,5,3,3,master mechanisms
88,5,3,3,master mechanisms
89,5,3,3,master mechanisms
90,5,3,3,master mechanisms
91,5,3,2,master mechanisms
92,5,3,2,master mechanisms
93,5,3,2,master mechanisms
94,5,3,2,master mechanisms
95,5,3,2,master mechanisms
96,5,4,2,master mechanisms
97,5,4,2,master mechanisms
98,5,4,2,master mechanisms
99,5,4,2,master mechanisms
100,5,4,2,master mechanisms
